oid_ktovet,id_ktovet,k_rechov,t_rechov,ms_bayit,knisa,t_bayit_veknisa,t_ktovet_melea,x,y,ms_gush,ms_chelka,k_status_hesder,UniqueId,lon,lat,date_import,garbage,cleaning,gezem,recycle_blue,recycle_orange,t_rechov_eng,Longitude,Latitude
48877,214356,903,"ק""ם",49,ב,49ב,"ק""ם 49ב",184737.93,669439.37,6336,562,0,527-214356,34.836556,32.117792,13/03/2026 00:44:42,,,בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,ב,KAM,34.83655505225024,32.117788024312695
48878,206102,567,הא באייר,25,,25,הא באייר 25,180270.05,665948.8,6213,330,0,527-206102,34.789356,32.086163,13/03/2026 00:44:42,כל השבוע,ו,בימים ב' ו- ד' 06:00 - 18:00,,,HEH B'IYAR,34.78935598435671,32.08616470534663
48879,75044,225,חבקוק,1, ,1 ,חבקוק 1 ,178688.3,666784.07,6962,109,0,527-75044,34.772566,32.093641,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,לא קיים פינוי,HAVAKUK,34.772566141750445,32.09364088974398
48880,118331,220,נחשון,2, ,2 ,נחשון 2 ,178696.81,666826.21,6962,111,0,527-118331,34.772655,32.094022,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,לא קיים פינוי,NAHSHON,34.77265459498409,32.094021274638486
48881,118263,201,זכריה,9, ,9 ,זכריה 9 ,179052.96,667039.43,6963,10,0,527-118263,34.776418,32.095957,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת דיזנגוף 332,"ב,ו",ב,ZECHARYA,34.77641835630254,32.09595683026778
48882,196178,1063,1063,1,,1,1063 1,181878.37,662722.49,6164,10,0,527-196178,34.806517,32.057124,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,1063,34.80651772034591,32.05712518551806
48883,214551,3352,מפרץ שלמה,6,א,6א,מפרץ שלמה 6א,176855.44,662480.67,7039,91,0,527-214551,34.753341,32.054772,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,MIFRATS SHLOMO,34.753341073430754,32.054766445414465
48884,214564,3232,הכוזרי,16,א,16א,הכוזרי 16א,177623.95,661610.56,7089,93,0,527-214564,34.761516,32.046952,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,HAKUZARI,34.76151633124708,32.04694870305404
48885,214565,3917,3917,2,א,2א,3917 2א,176943.75,661128.83,7045,92,0,527-214565,34.754336,32.042585,13/03/2026 00:44:42,,,בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,3917,34.75433581852068,32.04257921868743
48886,197947,200,הרברט סמואל,35,,35,הרברט סמואל 35,177821.43,664318.29,7406,5,0,527-197947,34.76349,32.071376,13/03/2026 00:44:42,,,,לא קיים פינוי,לא קיים פינוי,SAMUEL,34.763490102517984,32.07137362481045
48887,116342,4150,בושם,48, ,48 ,בושם 48 ,181596.81,661324.93,6137,119,0,527-116342,34.803591,32.044511,13/03/2026 00:44:42,כל השבוע,"א, ה",בימים ב' ו- ד' 06:00 - 18:00,,,BOSEM,34.80359124850901,32.044512868262345
48888,201420,3847,לבון פנחס,79,,79,לבון פנחס 79,178526.05,661225.79,7065,227,0,527-201420,34.771084,32.043513,13/03/2026 00:44:42,כל השבוע,"א, ב, ג, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ה,LAVON,34.77108387400675,32.04351191793777
48889,213725,4870,4870,5,,5,4870 5,179829.23,662818.12,6977,282,0,527-213725,34.784815,32.057916,13/03/2026 00:44:42,,,בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,,34.784815591430586,32.05791758891243
48890,214136,4870,4870,9,,9,4870 9,179822.93,662745.84,6977,267,0,527-214136,34.784752,32.057264,13/03/2026 00:44:42,,,בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,,34.78475186528339,32.057265600630195
48891,197261,615,615,2,,2,615 2,180084.81,666223.85,6213,861,0,527-197261,34.787383,32.088637,13/03/2026 00:44:42,,,בימים ב' ו- ד' 06:00 - 18:00,א,ד,615,34.787382550987196,32.0886385955533
48892,125858,3566,רבנו חננאל,3, ,3 ,רבנו חננאל 3 ,178141.82,662376.13,7052,170,0,527-125858,34.766966,32.053873,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,RABENU HANAN'EL,34.766966568018375,32.05387145220209
48893,107343,3511,חזקיהו המלך,58, ,58 ,חזקיהו המלך 58 ,179173.56,662305.24,6973,206,0,527-107343,34.777894,32.053269,13/03/2026 00:44:42,כל השבוע,"א, ב, ג, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ג,לא קיים פינוי,CHIZKIYAHU HAMELECH,34.777894196245484,32.053269436913595
