oid_ktovet,id_ktovet,k_rechov,t_rechov,ms_bayit,knisa,t_bayit_veknisa,t_ktovet_melea,x,y,ms_gush,ms_chelka,k_status_hesder,UniqueId,lon,lat,date_import,garbage,cleaning,gezem,recycle_blue,recycle_orange,t_rechov_eng,Longitude,Latitude
19674,108780,3560,ויטל חיים,8, ,8 ,ויטל חיים 8 ,178219.48,662621.9,7051,99,0,527-108780,34.767778,32.056092,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,VITAL,34.76777832739657,32.056090632740464
19675,108790,3560,ויטל חיים,18, ,18 ,ויטל חיים 18 ,178210.79,662548.9,7051,160,0,527-108790,34.767689,32.055434,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,VITAL,34.76768946421425,32.05543202079366
19676,125283,3364,המחוגה,14, ,14 ,המחוגה 14 ,178126.2,662737.62,7051,90,0,527-125283,34.766785,32.057132,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,HA-MEHUGA,34.7667856239689,32.05713074996008
19677,125285,3364,המחוגה,18, ,18 ,המחוגה 18 ,178151.04,662735.9,7051,90,0,527-125285,34.767049,32.057118,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,HA-MEHUGA,34.76704876543417,32.057116158177934
19678,106164,3374,אברבנאל,60, ,60 ,אברבנאל 60 ,178154.99,662697.4,7051,90,0,527-106164,34.767092,32.056771,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,ABARVANEL,34.76709227592804,32.056769119202606
19679,81571,502,יהודה המכבי,36, ,36 ,יהודה המכבי 36 ,180352.03,666781.08,6212,1195,0,527-81571,34.790191,32.093671,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,"א,ו","ב,ג",YEHUDA HAMAKABI,34.790190396396326,32.093672782095716
19680,93754,955,קוממיות,20, ,20 ,קוממיות 20 ,181756.58,669663.76,6628,716,0,527-93754,34.804957,32.119714,13/03/2026 00:44:42,כל השבוע,"א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,KOMEMUYUT,34.80495593136087,32.119715835515805
19681,93927,958,זליג,2, ,2 ,זליג 2 ,181710.02,669532.05,6628,348,0,527-93927,34.804468,32.118525,13/03/2026 00:44:42,כל השבוע,"א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת שמיר 15,לא קיים פינוי,לא קיים פינוי,ZELIG,34.80446772636443,32.11852647687539
19682,93808,956,גור (מוטה) מרדכי,8, ,8 ,גור (מוטה) מרדכי 8 ,181645.78,669762.15,6628,418,0,527-93808,34.803779,32.120598,13/03/2026 00:44:42,כל השבוע,"א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ג,לא קיים פינוי,GUR MORDEHAY,34.803778031382556,32.120599383779066
19683,120975,960,מניה וישראל,9, ,9 ,מניה וישראל 9 ,181527.21,669619.3,6628,630,0,527-120975,34.802528,32.119305,13/03/2026 00:44:42,כל השבוע,"א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ג,לא קיים פינוי,SHOHAT,34.802527189664744,32.1193071387269
19684,120935,941,לבנון חיים,84, ,84 ,לבנון חיים 84 ,181496.75,669587.83,6628,622,0,527-120935,34.802206,32.119021,13/03/2026 00:44:42,כל השבוע,"א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ג,"א,ד",LEBANON HAYIM,34.80220574907725,32.119022338842406
19685,133139,838,אשכנזי ישראל,57, ,57 ,אשכנזי ישראל 57 ,184274.35,668963.87,6623,485,0,527-133139,34.831661,32.113488,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,ASHKENAZI ISRAEL,34.83166033918434,32.113485752987415
19686,133031,835,תבואות הארץ,46, ,46 ,תבואות הארץ 46 ,184233.5,668923.22,6623,491,0,527-133031,34.83123,32.11312,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,,לא קיים פינוי,TEVUOT HA'ARETS,34.831229071374146,32.113117851385745
19687,132957,832,חילו יצחק,2, ,2 ,חילו יצחק 2 ,183769.55,668911.5,6623,612,0,527-132957,34.826314,32.112999,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,,HILU,34.82631371428196,32.1129975935686
19688,90040,833,רומנילי,5,א,5א,רומנילי 5א,183824.25,668890.11,6623,608,0,527-90040,34.826895,32.112808,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,ROMANILI,34.82689411221789,32.11280642782783
19689,90075,833,רומנילי,27, ,27 ,רומנילי 27 ,184020.5,669018.51,6623,563,0,527-90075,34.828969,32.113972,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,ROMANILI,34.82896872206681,32.11397054366992
19690,88524,802,רוזן פנחס,70, ,70 ,רוזן פנחס 70 ,183706.16,669032.19,6623,824,0,527-88524,34.825638,32.114085,13/03/2026 00:44:42,"א, ג, ה","א, ג, ה",בימים א' ו- ג' 06:00 - 18:00,ה,ה,ROSEN,34.82563756975433,32.11408391455415
19691,137179,3424,הזרם,10, ,10 ,הזרם 10 ,178084.17,662000.58,7053,10,0,527-137179,34.766372,32.050485,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,,HAZEREM,34.76637222462217,32.050482704994685
19692,111354,3704,"שז""ר זלמן",13, ,13 ,"שז""ר זלמן 13 ",178261.79,660689.03,6991,40,0,527-111354,34.768309,32.038663,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,לא קיים פינוי,ZALMAN SHAZAR,34.768309022520285,32.038661961672055
19693,111426,3705,אירוס,14, ,14 ,אירוס 14 ,178178.99,660677.78,6991,42,0,527-111426,34.767433,32.038559,13/03/2026 00:44:42,כל השבוע,כל יום,"בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת שז""ר זלמן 19",ד,לא קיים פינוי,IRUS,34.76743295132483,32.03855749396617
19694,111420,3705,אירוס,9, ,9 ,אירוס 9 ,178261.08,660625.12,7056,61,0,527-111420,34.768304,32.038087,13/03/2026 00:44:42,כל השבוע,"א, ה","בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת שז""ר זלמן 13",לא קיים פינוי,לא קיים פינוי,IRUS,34.76830422809724,32.038085643838876
19695,106263,3384,תל גבורים,36, ,36 ,תל גבורים 36 ,178347.95,660711.28,6991,27,0,527-106263,34.76922,32.038867,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,לא קיים פינוי,TEL-GIBORIM,34.76922019185057,32.038865740975325
19696,111496,3709,גרוסמן מאיר,7, ,7 ,גרוסמן מאיר 7 ,178299.24,660884.34,6991,39,0,527-111496,34.768697,32.040426,13/03/2026 00:44:42,כל השבוע,"א, ג, ה",בימים ב' ו- ד' 06:00 - 18:00,ד,לא קיים פינוי,GROSSMAN,34.76869710744819,32.040424609069724
19697,125984,3600,גורי ישראל,65, ,65 ,גורי ישראל 65 ,179431.52,661616.17,6983,76,0,527-125984,34.780654,32.047064,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,GURI YISRA'EL,34.78065416753351,32.04706470353179
19698,110037,3637,גוזיקוב יוסף,2, ,2 ,גוזיקוב יוסף 2 ,179467.49,661413.0,6983,28,0,527-110037,34.781043,32.045233,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ה,Guzikov Yosef,34.78104351319903,32.04523381611712
19699,110079,3639,מינקובסקי,1, ,1 ,מינקובסקי 1 ,179473.06,661317.23,6982,30,0,527-110079,34.781106,32.04437,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,ה,MINKOVSKY,34.78110646348824,32.04437042040195
19700,109639,3600,גורי ישראל,46, ,46 ,גורי ישראל 46 ,179465.79,661289.01,6982,29,0,527-109639,34.78103,32.044115,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,GURI YISRA'EL,34.78103062688701,32.04411569220241
19701,112499,3811,ליוויק,9, ,9 ,ליוויק 9 ,179582.74,661234.3,6982,164,0,527-112499,34.782271,32.043625,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,לא קיים פינוי,LEIVICK H.,34.78227112564214,32.043626378405456
19702,110096,3640,אחרון יוסף,1, ,1 ,אחרון יוסף 1 ,179536.1,661170.64,6985,126,0,527-110096,34.78178,32.04305,13/03/2026 00:44:42,"ב, ד, ו","א, ג, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,לא קיים פינוי,AHARON,34.78177996042998,32.043050695302014
19703,125937,3585,חיל השריון,44, ,44 ,חיל השריון 44 ,179722.54,661461.39,6982,2,0,527-125937,34.783742,32.045678,13/03/2026 00:44:42,"ב, ד, ו",כל יום,בימים ב' ו- ד' 06:00 - 18:00,לא קיים פינוי,לא קיים פינוי,HEIL HASIRYON,34.78374184148365,32.045679181238604
19704,101532,3005,עולי ציון,24, ,24 ,עולי ציון 24 ,177245.75,662199.59,7081,4,0,527-101532,34.757486,32.052251,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,OLEY TSIYON,34.75748625931505,32.05224639365337
19705,123719,3044,יוסי בן יוסי,3, ,3 ,יוסי בן יוסי 3 ,177227.91,662173.55,7081,6,0,527-123719,34.757298,32.052015,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,YOSEY BEN YOSEY,34.757298465290056,32.052010843121494
19706,136278,3006,יהודה הימית,4, ,4 ,יהודה הימית 4 ,177429.28,661927.14,7076,52,0,527-136278,34.759441,32.0498,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,,ה,YEHUDA HAYAMIT,34.759441438342115,32.04979631584263
19707,72556,176,השוק,29, ,29 ,השוק 29 ,178579.27,662837.87,8990,12,0,527-72556,34.771579,32.058052,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,לא קיים פינוי,ב,HASHUK,34.77157889069062,32.05805125179114
19708,125843,3560,ויטל חיים,4, ,4 ,ויטל חיים 4 ,178220.05,662668.72,7051,98,0,527-125843,34.767782,32.056514,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,VITAL,34.76778236030876,32.05651279706274
19709,108871,3564,פלורנטין,1, ,1 ,פלורנטין 1 ,178175.71,662647.5,7051,91,0,527-108871,34.767314,32.056321,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,FLORENTIN,34.76731372164388,32.05631983389712
19710,106145,3374,אברבנאל,35, ,35 ,אברבנאל 35 ,178170.06,662678.72,7051,93,0,527-106145,34.767252,32.056603,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,ABARVANEL,34.76725257314348,32.05660115012505
19711,106149,3374,אברבנאל,39, ,39 ,אברבנאל 39 ,178169.43,662659.08,7051,91,0,527-106149,34.767247,32.056426,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,ABARVANEL,34.767246796233344,32.056424013252496
19712,105978,3364,המחוגה,8, ,8 ,המחוגה 8 ,178083.97,662734.37,7051,90,0,527-105978,34.766338,32.057102,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,HA-MEHUGA,34.76633862994142,32.05709989692588
19713,105986,3365,המשור,1, ,1 ,המשור 1 ,178051.38,662708.47,7051,140,0,527-105986,34.765994,32.056867,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת הנגרים 16,ג,ב,HA-MASOR,34.76599469494898,32.056865088401196
19714,106003,3365,המשור,20, ,20 ,המשור 20 ,178133.71,662701.4,7051,90,0,527-106003,34.766867,32.056806,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת אברבנאל 60,ג,ב,HA-MASOR,34.76686676041239,32.05680441258983
19715,106009,3366,חצרים,3, ,3 ,חצרים 3 ,178058.67,662648.06,7051,140,0,527-106009,34.766074,32.056323,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת הנגרים 10,ג,לא קיים פינוי,HATSERIM,34.766074475502926,32.05632062642557
19716,125242,3343,חנינא בן דוסא,29, ,29 ,חנינא בן דוסא 29 ,177289.97,662285.03,7072,23,0,527-125242,34.75795,32.053023,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,BEN DOSA,34.757950721953485,32.05301849703031
19717,137084,3343,חנינא בן דוסא,27, ,27 ,חנינא בן דוסא 27 ,177301.86,662315.45,7072,22,0,527-137084,34.758075,32.053297,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,BEN DOSA,34.758075293010606,32.053293276403046
19718,93239,937,ויסבורג חיים,29, ,29 ,ויסבורג חיים 29 ,183990.3,669934.45,6624,390,0,527-93239,34.828616,32.122231,13/03/2026 00:44:42,"ב, ד, ו","ב, ד, ו",בימים א' ו- ג' 06:00 - 18:00,ה,ה,WEISSBURG,34.828614864065294,32.12222927379003
19719,86188,719,פרחי אביב,9, ,9 ,פרחי אביב 9 ,181074.77,664821.76,7093,426,0,527-86188,34.797925,32.076027,13/03/2026 00:44:42,כל השבוע,"א, ב, ג, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ו,ה,PIRHEY AVIV,34.7979247338915,32.07602900045359
19720,86160,717,שביל החלב,15, ,15 ,שביל החלב 15 ,181138.35,664809.44,7093,380,0,527-86160,34.798599,32.075918,13/03/2026 00:44:42,כל השבוע,"א, ב, ג, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ו,ה,SHVIL HEHALAV,34.7985985890087,32.07591998586029
19721,131708,719,פרחי אביב,17, ,17 ,פרחי אביב 17 ,181076.92,664738.26,7093,480,0,527-131708,34.797951,32.075274,13/03/2026 00:44:42,כל השבוע,"א, ב, ג, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ו,ה,PIRHEY AVIV,34.79795090299357,32.075276090768575
19722,131594,702,עמק ברכה,38, ,38 ,עמק ברכה 38 ,181240.14,664789.5,7093,443,0,527-131594,34.799677,32.075742,13/03/2026 00:44:42,כל השבוע,"א, ג, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ו,ה,EMEK BERAKHA,34.79967752431203,32.07574364226734
19723,86113,712,חפץ חיים,22, ,22 ,חפץ חיים 22 ,181218.38,664732.75,7093,95,0,527-86113,34.799449,32.075229,13/03/2026 00:44:42,כל השבוע,"א, ג, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ו,לא קיים פינוי,HAPHETZ HAYIM,34.799449258479896,32.07523114783289
19724,119865,721,ילקוט הרועים,4, ,4 ,ילקוט הרועים 4 ,181273.77,664651.75,7093,103,0,527-119865,34.800039,32.074501,13/03/2026 00:44:42,כל השבוע,"א, ב, ג, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ו,ה,YALKUT HARO'IM,34.800039117628444,32.074502583247785
19725,131488,700,נחלת יצחק,29, ,29 ,נחלת יצחק 29 ,181230.89,664638.36,7093,457,0,527-131488,34.799585,32.074378,13/03/2026 00:44:42,כל השבוע,"א, ב, ג, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,,ה,NAHALT YITZHAK,34.79958556240313,32.074380379313
19726,85901,701,עלית הנוער,28, ,28 ,עלית הנוער 28 ,181362.78,664710.12,7093,348,0,527-85901,34.800979,32.07503,13/03/2026 00:44:42,"ב, ד, ו","א, ב, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ו,ה,ALIYAT HANO'AR,34.80097956766931,32.075031999116256
19727,86099,712,חפץ חיים,4, ,4 ,חפץ חיים 4 ,181148.35,664531.55,9256,27,0,527-86099,34.798715,32.073412,13/03/2026 00:44:42,כל השבוע,"ב, ו",בימים ב' ו- ד' 06:00 - 18:00,ו,לא קיים פינוי,HAPHETZ HAYIM,34.79871556618389,32.073414373687974
19728,139074,713,חיי אדם,4, ,4 ,חיי אדם 4 ,181195.24,664566.42,7093,451,0,527-139074,34.799211,32.073728,13/03/2026 00:44:42,כל השבוע,"ב, ד, ו",בימים ב' ו- ד' 06:00 - 18:00,ו,,HAYEY ADAM,34.79921079067764,32.07373045704627
19729,65896,25,בן יהודה,200,א,200א,בן יהודה 200א,178837.63,666385.58,6960,67,0,527-65896,34.774165,32.090053,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,"ב,ד,ה",BEN-YEHUDA,34.774164872870806,32.09005280894291
19730,117472,41,בני ברק,24, ,24 ,בני ברק 24 ,179471.14,663030.4,6977,32,0,527-117472,34.781015,32.059818,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,א,BNEI BRAK,34.78101498728965,32.059819348509045
19731,105552,3327,המלך חירם,6, ,6 ,המלך חירם 6 ,177260.46,662500.59,7071,127,0,527-105552,34.757629,32.054966,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,HAMEHLEH CHIRAM,34.757628834233515,32.054961283541466
19732,105553,3327,המלך חירם,8, ,8 ,המלך חירם 8 ,177286.55,662492.51,7071,20,0,527-105553,34.757905,32.054894,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,HAMEHLEH CHIRAM,34.7579054024129,32.0548894105233
19733,105558,3327,המלך חירם,14, ,14 ,המלך חירם 14 ,177335.83,662475.44,7071,27,0,527-105558,34.758428,32.054741,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,HAMEHLEH CHIRAM,34.758427972460986,32.05473724153498
19734,105560,3327,המלך חירם,16, ,16 ,המלך חירם 16 ,177354.4,662468.31,7071,28,0,527-105560,34.758625,32.054678,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,HAMEHLEH CHIRAM,34.75862491683446,32.05467368174273
19735,136353,3013,רבי אחא,1, ,1 ,רבי אחא 1 ,177056.76,662313.17,7079,11,0,527-136353,34.75548,32.053269,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת עמיעד 12,,ה,RABBI HHA,34.75548014644651,32.053263541128715
19736,101770,3009,עמיעד,14, ,14 ,עמיעד 14 ,177088.03,662317.22,7079,12,0,527-101770,34.755811,32.053306,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,AMIAD,34.7558111052157,32.05330120725271
19737,101520,3005,עולי ציון,8, ,8 ,עולי ציון 8 ,177116.5,662346.34,7079,6,0,527-101520,34.756111,32.05357,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,OLEY TSIYON,34.75611126527856,32.05356491533853
19738,101788,3010,רבי פנחס,13, ,13 ,רבי פנחס 13 ,177140.22,662272.7,7079,15,0,527-101788,34.756365,32.052906,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,RABBI PINCHAS,34.756365646249606,32.05290173124632
19739,101828,3014,רבי חנינא,9, ,9 ,רבי חנינא 9 ,177066.69,662201.39,7079,26,0,527-101828,34.75559,32.052261,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת יהודה מרגוזה 14,ד,ה,RABBI HANINA,34.755590206814276,32.05225589935603
19740,126637,3840,מרזוק ועזר,2, ,2 ,מרזוק ועזר 2 ,177171.17,662524.03,7071,1,0,527-126637,34.756682,32.055174,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,MARZOUK AND AZAR,34.75668227273056,32.05516930081937
19741,125253,3349,הגמנסיה העברית,4, ,4 ,הגמנסיה העברית 4 ,177186.21,662516.65,7071,112,0,527-125253,34.756842,32.055108,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,HAGIMNASYA HA'IVRIT,34.75684192208445,32.05510335761073
19742,139903,3006,יהודה הימית,54, ,54 ,יהודה הימית 54 ,176612.9,662046.4,9004,35,0,527-139903,34.750792,32.050848,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,YEHUDA HAYAMIT,34.75079223314797,32.05084118851378
19743,123731,3046,בעלי התוספות,8, ,8 ,בעלי התוספות 8 ,177111.07,662114.22,7081,51,0,527-123731,34.756064,32.051476,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,לא קיים פינוי,BA'ALEY HATOSAFOT,34.75606397954585,32.05147146835192
19744,101529,3005,עולי ציון,18, ,18 ,עולי ציון 18 ,177195.71,662243.94,7081,1,0,527-101529,34.756954,32.052649,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,OLEY TSIYON,34.75695440010679,32.05264440453607
19745,102205,3045,רב האי גאון,11, ,11 ,רב האי גאון 11 ,177307.78,662067.73,7081,28,0,527-102205,34.758149,32.051064,13/03/2026 00:44:42,כל השבוע,"א, ג, ד, ה, ו",בימים ב' ו- ד' 06:00 - 18:00,ד,לא קיים פינוי,RAV HAY GA'ON,34.7581487545764,32.05105963246016
19746,136272,3006,יהודה הימית,1, ,1 ,יהודה הימית 1 ,177450.19,661905.0,7076,99,0,527-136272,34.759664,32.049601,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,YEHUDA HAYAMIT,34.75966376101082,32.049597433243264
19747,123393,3001,ירושלים,51, ,51 ,ירושלים 51 ,177404.8,662003.69,7076,102,0,527-123393,34.759179,32.05049,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,YERUSHALAYIM,34.75917885518893,32.05048568562607
19748,108876,3564,פלורנטין,5, ,5 ,פלורנטין 5 ,178214.0,662643.87,7051,98,0,527-108876,34.767719,32.05629,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,FLORENTIN,34.7677193958361,32.056288542178336
19749,106141,3374,אברבנאל,31, ,31 ,אברבנאל 31 ,178170.21,662708.45,7051,95,0,527-106141,34.767253,32.056871,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,ABARVANEL,34.767252952138264,32.056869292341446
19750,118732,414,שלמה,59, ,59 ,שלמה 59 ,178203.78,662509.34,7051,160,0,527-118732,34.767617,32.055077,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ג,ב,SHALMA,34.767616954458234,32.05507499935345
19751,125284,3364,המחוגה,16, ,16 ,המחוגה 16 ,178135.84,662737.92,7051,90,0,527-125284,34.766887,32.057135,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,HA-MEHUGA,34.76688769468571,32.05713377881417
19752,106087,3368,הנגרים,16, ,16 ,הנגרים 16 ,178051.07,662716.01,7051,140,0,527-106087,34.765991,32.056935,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ג,ב,HANAGARIM,34.76599106138249,32.056933133008116
19753,105991,3365,המשור,6, ,6 ,המשור 6 ,178085.42,662699.76,7051,90,0,527-105991,34.766355,32.05679,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת הנגרים 16,ג,ב,HA-MASOR,34.76635542223059,32.056787851817184
19754,106010,3366,חצרים,4, ,4 ,חצרים 4 ,178059.28,662636.39,7051,90,0,527-106010,34.766081,32.056217,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת הנגרים 10,ג,לא קיים פינוי,HATSERIM,34.76608142907969,32.05621539535807
19755,105610,3331,אלעזר בן יוסי,2, ,2 ,אלעזר בן יוסי 2 ,177312.77,662315.3,7072,41,0,527-105610,34.758191,32.053296,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,BEN YOSEY,34.75819077967003,32.05329227436408
19756,65895,25,בן יהודה,200, ,200 ,בן יהודה 200 ,178837.15,666379.4,6960,66,0,527-65895,34.77416,32.089997,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00,ו,"ב,ד,ה",BEN-YEHUDA,34.77416008518392,32.08999713538267
19757,137096,3366,חצרים,24, ,24 ,חצרים 24 ,178145.1,662638.61,7051,90,0,527-137096,34.76699,32.05624,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת אברבנאל 68,ג,ב,HATSERIM,34.76698998573272,32.05623854176298
19758,106008,3366,חצרים,2, ,2 ,חצרים 2 ,178042.6,662636.64,7051,90,0,527-106008,34.765905,32.056219,13/03/2026 00:44:42,כל השבוע,כל יום,בימים א' ו- ג' 06:00 - 18:00  הגישה לרחוב זה מוגבלת  אנא הניחו את הערמה לפינוי בכתובת הנגרים 10,ג,לא קיים פינוי,HATSERIM,34.76590480130857,32.05621703895835
19759,101523,3005,עולי ציון,11, ,11 ,עולי ציון 11 ,177215.13,662260.44,7071,92,0,527-101523,34.757159,32.052798,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,OLEY TSIYON,34.75715940542628,32.05279392330035
19760,105641,3337,יועזר איש הבירה,3, ,3 ,יועזר איש הבירה 3 ,177174.41,662509.42,7071,3,0,527-105641,34.756717,32.055042,13/03/2026 00:44:42,כל השבוע,כל יום,בימים ב' ו- ד' 06:00 - 18:00,ד,ה,YO'EZER ISH HABIRA,34.75671724481625,32.05503767829126
